material_name,page,zone_id,width_mm,height_mm,area_m2,bbox_area_m2,scale_mm_per_px,scale_source,area_px,width_px,height_px,bbox_px,material_line
Натуральный камень,1,p001-z0409,35.2,35.2,0.0002,0.0012,0.317134,dimension_line,1788.5,111,111,"[5149, 2468, 5260, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0410,33.6,33.6,0.0002,0.0011,0.317134,dimension_line,1697.5,106,106,"[4946, 2473, 5052, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0411,33.3,33.3,0.0002,0.0011,0.317134,dimension_line,1694.0,105,105,"[4705, 2474, 4810, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0412,31.7,30.8,0.0002,0.001,0.317134,dimension_line,1588.5,100,97,"[2354, 2484, 2454, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0413,31.7,30.1,0.0002,0.001,0.317134,dimension_line,1572.0,100,95,"[2415, 2484, 2515, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0414,55.2,51.1,0.001,0.0028,0.317134,dimension_line,9447.5,174,161,"[3043, 2484, 3217, 2645]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0415,29.2,28.9,0.0002,0.0008,0.317134,dimension_line,1509.0,92,91,"[2343, 2489, 2435, 2580]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0416,31.7,29.5,0.0002,0.0009,0.317134,dimension_line,1559.0,100,93,"[2374, 2489, 2474, 2582]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0417,31.7,29.2,0.0002,0.0009,0.317134,dimension_line,1545.0,100,92,"[2393, 2489, 2493, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0418,31.7,29.2,0.0002,0.0009,0.317134,dimension_line,1588.0,100,92,"[2432, 2489, 2532, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
